participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w0,kappa,logli
1,story,0.633229,0.804092,1.0,3.40621,2.10794,0.142088,0.707882,0.0505829,-7790.76
5,abstract,0.161349,0.496978,0.50105,5.70649,3.00791,0.162352,0.962969,0.000200637,-7168.28
