participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w_mean,w_std
1,story,0.00753296,0.859634,1,8.78983,2.00173,0.03901,0.4314656613391304,0.33354777461227586
5,abstract,0.0790916,0.501271,1,5.86149,2.98553,0.16042,0.5959722857083333,0.3186341378147743
