participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,decay_rate,w_mean,w_std,logli,AIC,BIC
1,story,0.029,0.868,1.0,8.613,1.985,0.017,0.672,0.435,0.351,-7439.72,14895.44,14940.698
5,abstract,0.353,0.492,0.646,5.685,3.014,0.042,0.987,0.532,0.272,-7006.55,14029.1,14075.039
