participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w0,kappa,logli,AIC,BIC
1,story,0.633,0.804,1.0,3.406,2.108,0.142,0.708,0.051,-7790.76,15597.52,15642.778
5,abstract,0.161,0.497,0.501,5.706,3.008,0.162,0.963,0.0,-7168.28,14352.56,14398.499
