Condition,alpha1,alpha2,lmbd,beta1,beta2,p,w_mean,w_std,LL
story,0.012,0.842,0.793,8.721,2.036,0,0.465,0.346,-7548.79
abstract,0.166,0.498,0.449,8.323,3.122,0,0.532,0.321,-7617.97
