condition,alpha_1,alpha_2,lmbd,beta1,beta2,p,w_mean,w_std,logli
story,0.798,--,0.643,3.767,2.12,0.113,0.802,0.198,-7716.99
abstract,0.443,--,0.412,5.416,3.168,0.174,0.64,0.29,-7195.35
