Condition,alpha1,alpha2,lmbd,beta1,beta2,p,w_mean,w_std,LL
Story,0.008,0.859,0.998,8.328,1.998,0.041,0.457,0.346,-7483.35
Abstract,0.161,0.497,0.445,6.028,2.998,0.153,0.577,0.324,-7160.22
