Condition,alpha1,alpha2,lmbd,beta1,beta2,p,w_mean,w_std,LL
story,0.008,0.86,1,8.79,2.002,0.039,0.431,0.334,-7481.09
abstract,0.079,0.501,1,5.861,2.986,0.16,0.596,0.319,-7176.87
