condition,alpha1,alpha2,lmbd,beta_1,beta_2,p,w_mean,w_std,logli
story,0.032,0.835,1,2.448,--,0.193,0.685,0.4,-7726.25
abstract,0.23,0.473,0.517,3.387,--,0.295,0.556,0.404,-7232.43
