,Mean,SE,t,p
Intercept,3.4768578743695158,0.6946995063314412,5.004837116885335,5.590928620069491e-07
Reward,0.8918054825942177,0.592222336765118,1.5058626249484366,0.13210244282589167
Common,0.3778772120422426,0.5426477768852053,0.696358168481322,0.48620455328977785
Reward*Common,2.173917252816123,0.6007113593990957,3.618904851392753,0.00029585238237195277
