trial,common,reward_1_1,reward_1_2,reward_2_1,reward_2_2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow,Subject,Condition
6,1,0.504836703,0.431793801,0.28581916,0.696116663,1,2,1.159040029,1,1,1,2,0.828500921,2,0,0,74,story
7,0,0.477272442,0.420062637,0.33781859,0.67090814,1,2,0.746242381,2,1,2,1,NaN,NaN,0,1,74,story
8,0,0.480771075,0.421768402,0.343464807,0.672853946,2,1,1.610097484,2,1,1,2,1.454343686,1,0,0,74,story
9,1,0.487833707,0.396802913,0.338448142,0.657500751,1,2,1.008119296,2,2,1,2,1.237403609,2,0,0,74,story
10,1,0.446377092,0.403402409,0.322297656,0.63029333,2,1,1.206262011,2,2,1,2,0.922745993,1,0,0,74,story
11,1,0.444801673,0.454777115,0.306495554,0.618181187,1,2,0.999389764,1,1,2,1,0.903667169,2,0,0,74,story
12,0,0.445352191,0.455445211,0.300821611,0.598617368,1,2,0.993973284,2,1,2,1,1.764074517,1,0,0,74,story
13,1,0.428502496,0.456825689,0.265403638,0.585284565,1,2,1.332182977,2,2,1,2,1.112146519,2,0,0,74,story
14,1,0.436983757,0.400654108,0.275508288,0.582858886,1,2,0.873655335,2,2,2,1,1.114057084,1,0,0,74,story
15,1,0.450672387,0.378073496,0.284789852,0.593469404,1,2,1.769086886,1,1,2,1,0.573106364,2,1,0,74,story
16,1,0.45323973,0.386126621,0.270971937,0.593213257,2,1,1.182051784,1,1,2,1,1.070803893,2,0,0,74,story
17,0,0.468547399,0.392927495,0.286008631,0.597138337,1,2,0.995733776,1,2,1,2,1.061704905,2,0,0,74,story
18,0,0.438225626,0.35743743,0.296417134,0.516415339,1,2,1.065093896,1,2,1,2,1.566485987,1,0,0,74,story
19,0,0.418198505,0.37580753,0.308902561,0.530755313,2,1,1.144745752,1,2,2,1,1.669253563,2,1,0,74,story
20,0,0.373024881,0.377043896,0.301597227,0.529508491,2,1,1.400729751,2,1,2,1,1.785952288,2,0,0,74,story
21,1,0.325251833,0.409070836,0.320540764,0.547484671,1,2,1.247591077,2,2,1,2,0.887626865,2,1,0,74,story
22,0,0.341955601,0.335350033,0.288310813,0.527845195,2,1,1.40468468,2,1,2,1,1.481387516,1,1,0,74,story
23,1,0.388642243,0.354120195,0.313047961,0.521620697,2,1,0.775427308,1,1,1,2,0.611826334,1,0,0,74,story
24,1,0.410992501,0.358750363,0.322674749,0.522455968,1,2,1.255661855,1,1,1,2,0.839748541,1,0,0,74,story
25,1,0.390892017,0.336855725,0.288173233,0.513295434,1,2,1.038555734,2,2,1,2,0.761826741,2,0,0,74,story
26,0,0.381286453,0.344095194,0.28412749,0.560747247,1,2,1.268432201,2,1,1,2,1.305231963,2,0,0,74,story
27,1,0.378255008,0.307477189,0.25933873,0.590478409,1,2,1.210775343,2,2,2,1,0.994944237,1,0,0,74,story
28,1,0.376857995,0.31390688,0.255747545,0.590577388,1,2,0.660600574,2,2,1,2,1.483179348,2,1,0,74,story
29,1,0.374518059,0.27526678,0.261193093,0.601457214,2,1,0.962691557,2,2,2,1,0.840072493,2,1,0,74,story
30,1,0.319403833,0.276300535,0.275672656,0.593757302,1,2,0.824932023,2,2,2,1,0.806383274,2,0,0,74,story
31,1,0.274740238,0.269045954,0.255587325,0.618230913,1,2,1.013595444,2,2,1,2,0.765937167,2,1,0,74,story
32,1,0.258107839,0.289545247,0.26913788,0.605693125,2,1,1.10789928,2,2,1,2,0.648729761,2,0,0,74,story
33,1,0.265859665,0.277128041,0.252185307,0.599104238,2,1,0.897017862,2,2,1,2,0.68669786,2,1,0,74,story
34,1,0.287964137,0.327234571,0.267819929,0.587100452,1,2,1.279576759,2,2,1,2,0.656560363,2,1,0,74,story
35,1,0.254103335,0.336212307,0.255825328,0.567509997,2,1,1.150871311,2,2,1,2,0.655115687,2,1,0,74,story
36,0,0.262746811,0.322620567,0.263080529,0.505827113,2,1,0.796968772,2,1,2,1,1.512848245,1,0,0,74,story
37,1,0.298061219,0.31197165,0.289084818,0.49731615,1,2,0.892686847,2,2,1,2,0.714960654,2,1,0,74,story
38,0,0.265440541,0.291946606,0.309978011,0.476933126,1,2,0.842589978,2,1,2,1,1.458589419,2,1,0,74,story
