,Mean,SE,t,p
Intercept,2.509400290305539,0.5866591818189677,4.277441431198624,1.8905367648258675e-05
Reward,0.5373890638046703,0.6320735629789687,0.8502001907372152,0.3952137957165347
Common,0.060796485661517886,0.6456384100154362,0.09416491447599026,0.9249781550892919
Reward*Common,2.01567335005166,0.7038382465130419,2.8638303758537087,0.004185520816543331
