,Intercept,Reward,Common,Reward*Common
1,6.677917042460512,-6.266737586440537,-4.838502483330297,8.616977769336742
2,2.501285301565657,0.23903416010533707,0.25138046640052253,0.8795010828363709
3,4.350347150160488,3.6087260729614905,4.147551152460085,5.3518274293081145
7,0.5784462163644984,0.14610141481496206,0.30484958239606585,0.3143375331255688
10,0.589536440932672,0.04569483186471232,0.6933561233217943,1.3281695105954807
13,7.479533746683758,-7.22725574130756,-6.422536785090511,9.447403512706488
14,0.8109260200845537,-0.21239983934387244,-0.9808334491435065,0.4807473412160765
15,0.5263368530039204,0.4065968676869686,0.6779299824977931,1.4336587345347418
16,0.4479398673070136,-0.03460058071478005,0.3040988310811229,1.0743213515546974
18,4.977505470478365,3.6764956559187136,3.4210283549037777,5.0097815886874075
22,0.34953220469172336,-0.17119473272235716,0.2755721396534123,1.4288216358110035
23,0.4230574684702552,-0.00805428683168436,0.27921643224436515,0.3589303007084159
24,1.3490759554382872,-0.08989866351051716,-0.012823323596888614,0.44532204234019007
27,1.3462234665959045,0.5458713503632303,0.4437211186068648,0.9783700691065327
33,0.39674126414551053,-0.0025125839633752985,-0.7545512823515128,-0.23751439858624304
34,7.289023656126474,6.64805648322865,6.575465478306401,8.05476184160867
36,0.5859162796843774,-0.5859162796843779,0.43217392981039704,2.0935547144978583
38,0.21423702905484107,0.1716581248846879,-0.4211537079441817,0.565886805066823
41,0.6160289700297317,0.048539003610239585,0.014042567866763498,0.13969978200721664
42,-0.12154412212283426,0.07985331765330865,-0.0738890322206715,0.03219822775114616
48,8.35108302166244,6.807313110258882,6.550148983100287,8.407576453358885
51,1.8510585674181952,0.3928849452684833,-0.19444426306009696,0.9123314722517264
54,2.4206790463417422,0.4261870230596058,0.0025380928660044223,0.6471033991991253
55,16.869687767796542,16.201027589534828,-16.653255726648403,-18.20921909991102
56,7.015947182910383,-5.720813600187469,-6.2325080339027314,6.141347255505753
61,1.3149317841041857,0.4825814885496102,0.2215551453697233,0.710960689797468
62,0.9588872005722263,0.2141479018946657,0.35690079840925854,0.7107737883998072
65,-0.26507926825894285,0.32638042930510924,-0.34358114266377526,0.1425180392424503
66,0.333633997205852,0.16383293239078178,0.2130529687974083,0.4179453534237482
68,0.5739825865354198,0.14525747060980887,0.7948989626749409,2.563398424085549
70,0.40759831940252267,0.08465117154782256,0.041414372545908726,-0.5046763266230012
71,1.832159164418466,0.2521415019958318,0.12741107218004033,1.6384358631157228
74,-2.236452962779853,-3.6816116144584603,4.558538292350972,5.310542675588973
76,2.337569053068425,0.27631133347402553,0.06326913581857586,0.8923831741203432
82,1.0359283156777055,-0.022951887313280333,-0.47631252774228233,1.4092462484331716
83,0.700962562203822,0.4681890255942402,0.06812937553818398,0.0024099235917692937
86,-0.0816595986972718,-0.2815268153968614,0.5447218855504123,0.5961690971317292
88,0.021920012424816407,0.1334917880819213,0.17351314191868955,0.06194136626158465
90,0.3991336268995481,-0.007753957274731885,0.4902944052965256,1.0642360741339716
91,2.485872302668121,0.19594611366622036,0.1588921275893597,0.5770161396896683
92,9.328740645823585,-9.00453500246431,-8.450203690203503,10.671529318448663
93,0.1484283208929397,0.10698449099005548,0.06347880249524114,-0.09574806306402633
94,0.9443965564222035,0.23547519699479466,0.44668253020576304,2.1801082061475596
95,0.6241852768587507,0.11795210788129638,-0.6241852768587506,0.6041826095519007
99,0.3793306558815735,-0.08543732343051436,0.1765981018274917,0.404977303075349
100,16.291422935445677,15.475714525869238,16.40299471110278,17.66672784320618
