participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w_mean,w_std,logli
1,story,0.00834932,0.859269,0.997906,8.32769,1.99819,0.0412108,0.4571906303478262,0.34576156759514964,-7483.35
5,abstract,0.160781,0.49695,0.444671,6.02848,2.99774,0.152955,0.5765664231250001,0.32361518112328996,-7160.22
