participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w_mean,w_std
1,story,0.0118232,0.841627,0.791962,8.71315,2.03594,0,0.46558038361739135,0.3458062067552078
5,abstract,0.16562,0.457856,0.449236,8.32195,3.12149,0,0.5316883034833333,0.3212041309271306
