participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w_mean,w_std
1,story,0.00963632,0.863863,0.999647,7.85049,1.9936,0.0436769,0.4741539273913043,0.3494316777949536
5,abstract,0.161754,0.497668,0.446615,6.03604,3.00017,0.15259,0.5738641479166667,0.31912315810420877
