participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,decay_rate,w_mean,w_std,logli
1,story,0.0289541,0.867799,0.99967,8.61319,1.98531,0.0165565,0.671942,0.43494239869565215,0.3511642940435071,-7439.72
5,abstract,0.353279,0.492359,0.646353,5.6853,3.01351,0.0423212,0.987428,0.5322485499999999,0.272294962705233,-7006.55
